flow_uuid,flow_name_zh,flow_name_en,flow_type,default_unit,unit_group,compartment,updated_at
000abc1e-59e3-4336-bfd6-66575a4b0bda,3C锂电池,3C Lithium Battery,Product flow,kg,Units of mass,End-of-life treatment;Material recycling,2024-04-16T19:00:21.836969+08:00
00190a46-ce7b-4f42-961c-f5d50f1c0dce,聚合氯化铁,Polyferric chloride,Product flow,kg,Units of mass,End-of-life treatment;Waste water treatment,2024-04-16T19:00:21.425986+08:00
00665421-6d29-46d6-83cb-28766e3dec4b,印染棉布类,Printed Cotton Cloth,Product flow,kg,Units of mass,Materials production;Other materials,2024-01-03T16:03:41.333754+08:00
00668183-76e0-4381-b8f3-bd68deb50ac9,再生金、含金再生原料,Regenerate,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-01-03T16:03:41.564171+08:00
008e406f-97a7-4823-a68d-0bd2c415ee72,冷轧污泥,Cold Rolling Sludge,Product flow,kg,Units of mass,Wastes;Production residues,2010-07-31T00:00:00+01:00
00972a31-f588-4947-937d-c1ff9e54b382,热解油、热解气、炭黑,Conduction Oil,Product flow,kg,Units of mass,Energy carriers and technologies;Crude oil based fuels,2024-01-03T16:03:41.569873+08:00
00b6b084-f103-4934-9d2a-cf449572cf12,冰淇淋,Ice cream,Product flow,kg,Units of mass,Materials production;Food and renewable raw materials,2024-01-03T16:03:40.820920+08:00
00f8688a-9af4-40bf-95fd-8529f7bc70ce,木薯淀粉,Cassava Starch,Product flow,kg,Units of mass,Materials production;Food and renewable raw materials,2024-01-03T16:03:40.780390+08:00
011968c9-fcbf-4a13-a2dd-3def4636a646,再生聚丙烯,Recycled Polypropylene,Product flow,kg,Units of mass,Materials production;Plastics,2024-04-16T19:00:22.365985+08:00
0123d60d-1c78-4a38-9fa0-90b1b6c9491e,工艺用水,Process water,Product flow,kg,Units of mass,Materials production;Water,2010-07-31T00:00:00+01:00
0138cf08-4438-417a-a910-a30cfbecdf16,电力和热力生产及供应行业 - CN,Electricity and heat production and supply Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.958050+08:00
015f9880-e888-44ed-8f50-3289b6aaa81a,松樟油,Pine camphor oil,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-04-16T19:00:21.334479+08:00
018da71b-2e3f-41d6-a889-eee14fddf3a1,玻璃废碎料,Glass Waste,Product flow,kg,Units of mass,Wastes;Production residues,2024-01-03T16:03:41.568892+08:00
019ce278-9df2-42f3-adac-66cc03b62204,硬脂酰苯甲酰甲烷,Stearoyl benzoyl methane,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:22.050905+08:00
019f5b53-6ae4-41aa-8e75-0f5fefaf4469,糖化酶,Glucoamylase,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:21.592850+08:00
01cf7e4e-1f7a-4720-b0c8-fee4b5990cd6,毛纺织品行业 - CN,Woolen textiles Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.889557+08:00
020cf17d-0881-41bd-b3d2-d9d14bd74319,日用化学产品 行业 - CN,Chemical products for daily use Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.909147+08:00
0212cd93-b75d-47db-966d-4692b225c53b,煤质活性炭,Coal-based powdered activated carbon,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:23.289689+08:00
02419b0d-bfaf-410a-bc49-66362adaacf3,油烟处理螯合剂,Fume Treatment Chelating Agent,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:22.219548+08:00
02677f39-1390-48f4-8eb7-44b5464627e8,常压渣油,Atmospheric Residue,Product flow,kg,Units of mass,Energy carriers and technologies;Crude oil based fuels,2024-01-03T16:03:40.665823+08:00
0278f2c1-cb27-4311-bcff-3f54a13e58d0,回收聚氯乙烯,Recycled Polyvinyl Chloride,Product flow,kg,Units of mass,Materials production;Plastics,2024-04-16T19:00:22.280351+08:00
0286ac90-a513-4ed7-9f8e-c2df707e5dbb,磁铁,Magnet,Product flow,kg,Units of mass,Wastes;Construction waste,2024-04-16T19:00:21.318948+08:00
02bb10a7-9104-49e4-88d9-119c33628d96,耐火材料消耗,Refractory consumption,Product flow,kg,Units of mass,Materials production;Raw materials,2024-04-16T19:00:21.856070+08:00
02d04a9e-345a-4580-93f9-61c2e785883c,页岩空心砖,Shale hollow brick,Product flow,kg,Units of mass,Materials production;Raw materials,2024-04-16T19:00:21.017673+08:00
02d5be4a-b4e9-4104-92b0-d28e0850f7f1,水泥，硅酸盐水泥，52.5MPa,"Cement, portland cement, 52.5mpa",Product flow,kg,Units of mass,Materials production;Other mineralic materials,2024-04-16T19:00:23.379696+08:00
02d864a0-fda9-4376-87fe-2b43eb039569,烧结类砖瓦及建筑砌块,Sintered Brick,Product flow,Item(s),Units of items,Materials production;Other mineralic materials,2024-01-03T16:03:40.798394+08:00
02f62137-e204-46e6-8e72-e88b450fbdc4,淬火油,Quenching Oil,Product flow,kg,Units of mass,Materials production;Other materials,2024-01-03T16:03:41.217806+08:00
02fcb4b6-9caa-40d1-8954-c15e6d916afa,非电雷管,Nonel tube,Product flow,m,Units of length,Materials production;Other materials,2024-04-16T19:00:22.430302+08:00
0312771a-e419-43b7-8e93-f851d58e32b3,钢、铁及其铸件行业 - CN,"Steel, iron and their castings Sectors - CN",Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.919751+08:00
032dc50f-47e6-436c-963f-b17e477926c9,泥浆,Slurry,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:23.305204+08:00
0330e9ff-a2b5-4380-8c83-e864fc9be882,聚氯乙烯废气,PVC Waste Gas,Product flow,kg,Units of mass,Wastes;Production residues,2024-04-16T19:00:22.388629+08:00
03377e13-45a0-4774-9cc8-37c8c60523f2,涤纶短纤,Polyester Short Fiber,Product flow,kg,Units of mass,Materials production;Plastics,2024-01-03T16:03:41.193750+08:00
0358fc77-77ec-4174-878d-2424281163c8,淀粉糖浆,Starch Syrup,Product flow,kg,Units of mass,Materials production;Food and renewable raw materials,2024-01-03T16:03:40.865551+08:00
035b05c1-0d99-49f3-bf87-bff28f160e48,水泥，硅酸盐复合水泥，32.5RMPa,"Cement, portland-composite cement, 32.5rmpa",Product flow,kg,Units of mass,Materials production;Other mineralic materials,2024-04-16T19:00:23.381328+08:00
0362054e-ad68-4a82-a055-bb073ab8e103,陶制装饰性花盆,Flower Pot,Product flow,kg,Units of mass,Systems;Other systems,2024-01-03T16:03:41.248209+08:00
03708042-ffb5-4e88-b86f-9dcfd773f883,再生涤纶短纤,Regenerated Polyester Staple Fiber,Product flow,kg,Units of mass,Materials production;Plastics,2024-01-03T16:03:41.196297+08:00
037103c9-5009-44a2-9d0e-4f1d6b3f41eb,水泥，替代成分 6-20%，42.5RMPa,"Cement, alternative constituents 6-20%, 42.5rmpa",Product flow,kg,Units of mass,Materials production;Other mineralic materials,2024-04-16T19:00:23.383170+08:00
